mode,sweep,position,slot,engine,pair,variant,cost_ms_per_s,spread_percent
comparison,18,3,V2a,V2,voice-dsp,as-built,0.526761,0.1938
comparison,18,3,V2a,V2,voice-dsp,clause-5,0.526660,1.8112
comparison,18,3,V2a,V2,whole-render,as-built,0.538326,1.0042
comparison,19,0,V2b,V2,voice-dsp,as-built,0.581763,0.0212
comparison,19,0,V2b,V2,voice-dsp,clause-5,0.585422,0.1989
comparison,19,0,V2b,V2,whole-render,as-built,0.593645,0.2051
comparison,19,1,V1a,V1,voice-dsp,as-built,2.628606,0.6923
comparison,19,1,V1a,V1,whole-render,as-built,2.214155,0.1174
comparison,19,2,V2a,V2,voice-dsp,as-built,0.582012,0.0838
comparison,19,2,V2a,V2,voice-dsp,clause-5,0.585750,0.0158
comparison,19,2,V2a,V2,whole-render,as-built,0.593747,0.1225
comparison,19,3,V1b,V1,voice-dsp,as-built,2.614779,0.3363
comparison,19,3,V1b,V1,whole-render,as-built,2.017516,9.6362
comparison,20,0,V2b,V2,voice-dsp,as-built,0.521740,1.5708
comparison,20,0,V2b,V2,voice-dsp,clause-5,0.524364,0.9404
comparison,20,0,V2b,V2,whole-render,as-built,0.533127,1.1979
comparison,20,1,V1b,V1,voice-dsp,as-built,2.425092,0.1990
comparison,20,1,V1b,V1,whole-render,as-built,2.022570,0.1724
comparison,20,2,V1a,V1,voice-dsp,as-built,2.428819,0.2134
comparison,20,2,V1a,V1,whole-render,as-built,2.028230,0.2195
comparison,20,3,V2a,V2,voice-dsp,as-built,0.527852,0.4622
comparison,20,3,V2a,V2,voice-dsp,clause-5,0.533460,0.3094
comparison,20,3,V2a,V2,whole-render,as-built,0.544032,0.2673
comparison,21,0,V2b,V2,voice-dsp,as-built,0.581696,0.0475
comparison,21,0,V2b,V2,voice-dsp,clause-5,0.584613,0.1749
comparison,21,0,V2b,V2,whole-render,as-built,0.593404,0.0539
comparison,21,1,V1b,V1,voice-dsp,as-built,2.655305,0.2789
comparison,21,1,V1b,V1,whole-render,as-built,2.217826,0.1399
comparison,21,2,V2a,V2,voice-dsp,as-built,0.581909,0.0843
comparison,21,2,V2a,V2,voice-dsp,clause-5,0.584520,0.1494
comparison,21,2,V2a,V2,whole-render,as-built,0.594941,0.0720
comparison,21,3,V1a,V1,voice-dsp,as-built,2.610052,1.2151
comparison,21,3,V1a,V1,whole-render,as-built,2.031828,9.1648
comparison,22,0,V2b,V2,voice-dsp,as-built,0.529782,0.5658
comparison,22,0,V2b,V2,voice-dsp,clause-5,0.524794,0.6930
comparison,22,0,V2b,V2,whole-render,as-built,0.534966,0.5023
comparison,22,1,V2a,V2,voice-dsp,as-built,0.524310,0.3985
comparison,22,1,V2a,V2,voice-dsp,clause-5,0.528743,1.2406
comparison,22,1,V2a,V2,whole-render,as-built,0.531867,1.2226
comparison,22,2,V1a,V1,voice-dsp,as-built,2.426095,0.7463
comparison,22,2,V1a,V1,whole-render,as-built,2.021362,0.6125
comparison,22,3,V1b,V1,voice-dsp,as-built,2.433256,0.2318
